snapshot_date,watchlist_name,ticker,company,close
2026-06-01,Best Buy Watchlist Today,NVDA,NVIDIA,211.14
2026-06-01,Best Buy Watchlist Today,AVGO,Broadcom,446.77
2026-06-01,Best Buy Watchlist Today,MU,Micron Technology,971.0
2026-06-01,Best Buy Watchlist Today,AMAT,Applied Materials,450.06
2026-06-01,Best Buy Watchlist Today,KLAC,KLA,1921.71
2026-06-02,Best Buy Watchlist Today,NVDA,NVIDIA,226.89
2026-06-02,Best Buy Watchlist Today,AVGO,Broadcom,477.91
2026-06-02,Best Buy Watchlist Today,MU,Micron Technology,1035.46
2026-06-02,Best Buy Watchlist Today,AMAT,Applied Materials,484.265
2026-06-02,Best Buy Watchlist Today,KLAC,KLA,2031.02
2026-06-03,Best Buy Watchlist Today,NVDA,NVIDIA,222.82
2026-06-03,Best Buy Watchlist Today,AVGO,Broadcom,481.57
2026-06-03,Best Buy Watchlist Today,MU,Micron Technology,1064.1
2026-06-03,Best Buy Watchlist Today,AMAT,Applied Materials,490.05
2026-06-03,Best Buy Watchlist Today,KLAC,KLA,2045.2
2026-06-04,Best Buy Watchlist Today,NVDA,NVIDIA,214.715
2026-06-04,Best Buy Watchlist Today,AVGO,Broadcom,409.635
2026-06-04,Best Buy Watchlist Today,MU,Micron Technology,992.555
2026-06-04,Best Buy Watchlist Today,AMAT,Applied Materials,490.73
2026-06-04,Best Buy Watchlist Today,KLAC,KLA,2071.125
2026-06-05,Best Buy Watchlist Today,NVDA,NVIDIA,218.66
2026-06-05,Best Buy Watchlist Today,AVGO,Broadcom,418.91
2026-06-05,Best Buy Watchlist Today,MU,Micron Technology,996.0
2026-06-05,Best Buy Watchlist Today,AMAT,Applied Materials,501.7
2026-06-05,Best Buy Watchlist Today,KLAC,KLA,2131.1
2026-06-11,Best Buy Watchlist Today,NONE,No fresh buys,
2026-06-18,Best Buy Watchlist Today,NVDA,NVIDIA,204.65
2026-06-18,Best Buy Watchlist Today,MU,Micron Technology,853.57
2026-06-18,Best Buy Watchlist Today,KLAC,KLA,238.73
2026-06-24,Best Buy Watchlist Today,NVDA,NVIDIA,200.04
2026-06-24,Best Buy Watchlist Today,AVGO,Broadcom,380.15
2026-06-24,Best Buy Watchlist Today,KLAC,KLA,244.49
2026-06-26,Best Buy Watchlist Today,NONE,No fresh buys,
2026-07-10,Best Buy Watchlist Today,NONE,No fresh buys,
2026-07-14,Best Buy Watchlist Today,NONE,No fresh buys,
